ID,物品名称,价格,重量,描述,分类
scav_001,严重烧毁的显卡,12,0.5,来自旧时代的挖矿设备，核心熔化，金手指尚存。,杂货
scav_002,合成血液袋 (过期),8,0.3,变成褐色的过期血浆，黑诊所勉强回收。,生化用具
scav_003,无人机残骸,45,1.2,NCPD警用无人机碎片，含伺服电机。,杂货
scav_004,破碎霓虹灯管,1,0.1,毫无价值的玻璃渣，含微量有毒气体。,杂货
scav_005,纸质书残页,60,0.05,真正的纸张，印着看不懂的古老文字。,杂货
scav_006,锈蚀的螺丝,2,0.01,依然能用，如果你不在乎它可能会断裂。,杂货
scav_007,凹陷的合成肉罐头,5,0.2,标签磨损，不知道里面装的是什么肉。,饮食
scav_008,磨损的线缆束,10,0.8,从墙里扯出来的，还能通电。,杂货
scav_009,碎裂的屏幕面板,15,0.4,只能显示雪花点，触摸层已失效。,杂货
scav_010,生物废液残留,3,0.5,从义体工厂排水管收集的绿色粘液。,生化用具
scav_011,空注射器,4,0.02,针头弯曲，里面可能有残留病毒。,生化用具
scav_012,弯曲的电路板,20,0.1,还能拆解出几个电容器。,杂货
scav_013,腐蚀的微型电池,18,0.1,漏液了，但还有一点点电荷。,杂货
scav_014,塑料碎片 (尖锐),1,0.05,某种大型外壳的碎片，很锋利。,杂货
scav_015,合成假发团,5,0.2,纠缠在一起的粉色假发，沾满油污。,杂货
scav_016,数据芯片 (损坏),25,0.01,读不出来数据，但芯片基底值钱。,杂货
scav_017,辐射尘收集盒,30,0.5,过滤系统留下的副产物，辐射轻微超标。,杂货
scav_018,扭曲的金属管,8,1.5,曾经是扶手或水管，现在是重金属废料。,杂货
scav_019,沾血的绷带,1,0.1,没人会买这个，除非是变态。,生化用具
scav_020,死去的义体老鼠,10,0.3,它的眼睛是摄像头，尾巴是数据线。,生化用具
scav_021,碎裂的风镜,12,0.2,镜片全碎了，只剩下框架。,杂货
scav_022,熔化的塑料块,3,0.4,曾是某种精密仪器，现是一坨废料。,杂货
scav_023,失效ID卡,5,0.01,前任主人的身份证明，已被系统注销。,杂货
scav_024,故障伺服马达,35,0.6,转动时会发出刺耳尖叫。,杂货
scav_025,烧焦的记忆棒,8,0.01,除了烧焦味，里面什么都没有。,杂货
scav_026,脏污的滤芯,6,0.2,吸满了城市的雾霾，黑得发亮。,杂货
scav_027,撕裂的合成皮,15,0.3,可以用来补衣服，如果手艺够好的话。,杂货
scav_028,空弹壳 (黄铜),2,0.01,街头火拼后的遗留物，按斤卖。,杂货
scav_029,氧化铜线,22,0.3,绿色的铜锈覆盖了表面。,杂货
scav_030,全息发射器 (故障),40,0.2,只能投射出一个一直在尖叫的头像。,杂货
cit_001,廉价合成烟草,15,0.05,充满焦油，让肺部报警。,饮食
cit_002,罐装“清洁”空气,55,0.5,上层大气采集，带点金属味。,饮食
cit_003,塑料雨衣 (全息),35,0.2,反射霓虹灯，勉强防酸雨。,装备
cit_004,记忆擦除片 (低效),80,0.01,忘掉过去1小时的糟糕记忆。,药品
cit_005,便携拉面加热器,40,0.3,USB供电，流浪者神器。,装备
cit_006,浓缩大豆膏,10,0.2,只有卡路里，没有味道。,饮食
cit_007,维生素贴片,25,0.01,贴在手臂上，维持营养均衡。,药品
cit_008,一次性手机,30,0.1,用完即弃，不可追踪(理论上)。,信息用具
cit_009,地铁月票,120,0.01,通行低安保区域的凭证。,情报
cit_010,LED发光伞,65,0.4,伞柄发光，在酸雨夜很显眼。,装备
cit_011,狗粮级蛋白块,15,0.3,味道像锯末，但能填饱肚子。,饮食
cit_012,辐射绿功能饮料,18,0.3,喝完尿液会发光，提神效果极佳。,酒水
cit_013,廉价VR头显,200,0.5,分辨率很低，主要看低俗广告。,信息用具
cit_014,防霾口罩 (民用),25,0.05,只能过滤大颗粒灰尘。,装备
cit_015,手摇手电筒,35,0.2,没电时的备用光源。,装备
cit_016,瑞士军刀 (未来版),150,0.2,含激光切割器和螺丝刀。,装备
cit_017,战术背包 (仿品),85,1,看着像军用的，其实很不结实。,装备
cit_018,压缩睡袋,60,0.8,展开后能在街角凑合一晚。,装备
cit_019,净水片,15,0.02,扔进污水里，等变成透明再喝。,药品
cit_020,速溶咖啡粉,20,0.1,纯化学合成，没有任何咖啡豆成分。,饮食
cit_021,电子手表,50,0.1,能显示时间、天气和你的死亡倒计时。,信息用具
cit_022,急救喷雾,100,0.2,快速止血，会有剧痛。,药品
cit_023,荧光棒,5,0.05,折断发光，持续6小时。,装备
cit_024,颈挂式风扇,45,0.2,在没有空调的贫民窟里救命。,装备
cit_025,合成纤维袜,8,0.05,永远不会臭，但穿久了磨脚。,装备
cit_026,降噪耳塞,30,0.01,隔绝隔壁枪声和叫床声。,装备
cit_027,电子书阅读器,150,0.3,存了几千本盗版书。,信息用具
cit_028,个人卫生包,35,0.4,含牙膏、肥皂和消毒湿巾。,杂货
cit_029,咖啡因喷雾,25,0.1,直接喷嘴里，瞬间清醒。,饮食
cit_030,自洁衬衫,220,0.3,利用纳米涂层自动去除污渍。,装备
op_001,热能武士刀 (未充能),1200,2.5,钨合金刀刃，通电后削铁如泥。,武器
op_002,光学义眼干扰器,850,0.2,阻止摄像头对焦你的面部。,信息用具
op_003,假创伤小组会员卡,500,0.01,骗过无人机初步扫描。,情报
op_004,蜘蛛机器人 (侦查),2200,3,能爬通风管传输音视频。,信息用具
op_005,纳米陶瓷内衬,900,1.5,缝在衣服里的软防弹层。,装备
op_006,智能手枪链接,1500,0.1,允许手枪自动追踪目标的掌心接口。,强化器官
op_007,黑客甲板 (中端),3500,1.2,能运行3级破冰程序的便携终端。,信息用具
op_008,单分子线轴,800,0.1,极其锋利的备用切割线。,武器
op_009,磁力抓钩枪,1800,2,快速攀爬高楼外墙。,装备
